rank,display,label,category,score
48,My Health Team,myhealthteam,Personal portal name,28.5
49,My Medical Hub,mymedicalhub,Personal portal name,28.5
50,My Records Hub,myrecordshub,Personal portal name,28.5
51,One Clinic Hub,oneclinichub,Personal portal name,28.5
52,One Doctor Hub,onedoctorhub,Personal portal name,28.5
53,One Health Hub,onehealthhub,Personal portal name,28.5
54,Our Clinic Hub,ourclinichub,Personal portal name,28.5
55,Our Doctor Hub,ourdoctorhub,Personal portal name,28.5
56,Our Health Hub,ourhealthhub,Personal portal name,28.5
57,My Clinic Login,mycliniclogin,Personal portal name,28.25
58,My Doctor Login,mydoctorlogin,Personal portal name,28.25
59,My Health Login,myhealthlogin,Personal portal name,28.25
60,My Practice Hub,mypracticehub,Personal portal name,28.25
61,Your Clinic Hub,yourclinichub,Personal portal name,28.25
62,Your Doctor Hub,yourdoctorhub,Personal portal name,28.25
63,Your Health Hub,yourhealthhub,Personal portal name,28.25
64,My Clinic Office,myclinicoffice,Personal portal name,28.0
65,My Clinic Online,mycliniconline,Personal portal name,28.0
66,My Doctor Online,mydoctoronline,Personal portal name,28.0
67,My Health Office,myhealthoffice,Personal portal name,28.0
68,My Health Online,myhealthonline,Personal portal name,28.0
69,My Visit App,myvisitapp,Personal portal name,28.0
70,My Visit Now,myvisitnow,Personal portal name,28.0
71,One Care App,onecareapp,Personal portal name,28.0
72,One Care Now,onecarenow,Personal portal name,28.0
73,Our Care App,ourcareapp,Personal portal name,28.0
74,Our Care Now,ourcarenow,Personal portal name,28.0
75,My Care Cloud,mycarecloud,Personal portal name,27.75
76,My Office App,myofficeapp,Personal portal name,27.75
77,My Office Now,myofficenow,Personal portal name,27.75
78,My Visit Desk,myvisitdesk,Personal portal name,27.75
79,My Visit Link,myvisitlink,Personal portal name,27.75
80,One Care Desk,onecaredesk,Personal portal name,27.75
81,One Care Home,onecarehome,Personal portal name,27.75
82,One Care Link,onecarelink,Personal portal name,27.75
83,Our Care Desk,ourcaredesk,Personal portal name,27.75
84,Our Care Home,ourcarehome,Personal portal name,27.75
85,Our Care Link,ourcarelink,Personal portal name,27.75
86,Your Care App,yourcareapp,Personal portal name,27.75
87,Your Care Now,yourcarenow,Personal portal name,27.75
88,My Medical App,mymedicalapp,Personal portal name,27.5
89,My Medical Now,mymedicalnow,Personal portal name,27.5
90,My Office Desk,myofficedesk,Personal portal name,27.5
91,My Office Link,myofficelink,Personal portal name,27.5
92,My Records App,myrecordsapp,Personal portal name,27.5
93,My Records Now,myrecordsnow,Personal portal name,27.5
94,One Clinic App,oneclinicapp,Personal portal name,27.5
95,One Clinic Now,oneclinicnow,Personal portal name,27.5
96,One Doctor App,onedoctorapp,Personal portal name,27.5
97,One Doctor Now,onedoctornow,Personal portal name,27.5
98,One Health App,onehealthapp,Personal portal name,27.5
99,One Health Now,onehealthnow,Personal portal name,27.5
100,Our Clinic App,ourclinicapp,Personal portal name,27.5
101,Our Clinic Now,ourclinicnow,Personal portal name,27.5
102,Our Doctor App,ourdoctorapp,Personal portal name,27.5
103,Our Doctor Now,ourdoctornow,Personal portal name,27.5
104,Our Health App,ourhealthapp,Personal portal name,27.5
105,Our Health Now,ourhealthnow,Personal portal name,27.5
106,Your Care Desk,yourcaredesk,Personal portal name,27.5
107,Your Care Home,yourcarehome,Personal portal name,27.5
108,Your Care Link,yourcarelink,Personal portal name,27.5
109,My Clinic Cloud,mycliniccloud,Personal portal name,27.25
110,My Health Cloud,myhealthcloud,Personal portal name,27.25
111,My Medical Desk,mymedicaldesk,Personal portal name,27.25
112,My Medical Home,mymedicalhome,Personal portal name,27.25
113,My Medical Link,mymedicallink,Personal portal name,27.25
114,My Practice App,mypracticeapp,Personal portal name,27.25
115,My Practice Now,mypracticenow,Personal portal name,27.25
116,One Care Access,onecareaccess,Personal portal name,27.25
117,One Care Portal,onecareportal,Personal portal name,27.25
118,Our Care Access,ourcareaccess,Personal portal name,27.25
119,Our Care Portal,ourcareportal,Personal portal name,27.25
120,Your Clinic App,yourclinicapp,Personal portal name,27.25
121,Your Clinic Now,yourclinicnow,Personal portal name,27.25
122,Your Doctor App,yourdoctorapp,Personal portal name,27.25
123,Your Doctor Now,yourdoctornow,Personal portal name,27.25
124,Your Health App,yourhealthapp,Personal portal name,27.25
125,Your Health Now,yourhealthnow,Personal portal name,27.25
126,My Care Simple,mycaresimple,Personal portal name,27.0
127,My Health Simple,myhealthsimple,Personal portal name,27.0
128,My Visit Home,myvisithome,Personal portal name,27.0
129,One Care Connect,onecareconnect,Personal portal name,27.0
130,One Care Team,onecareteam,Personal portal name,27.0
131,Our Care Connect,ourcareconnect,Personal portal name,27.0
132,Our Care Team,ourcareteam,Personal portal name,27.0
133,Your Care Access,yourcareaccess,Personal portal name,27.0
134,Your Care Portal,yourcareportal,Personal portal name,27.0
135,My Clinic Simple,myclinicsimple,Personal portal name,26.75
136,My Doctor Simple,mydoctorsimple,Personal portal name,26.75
137,My Health Ready,myhealthready,Personal portal name,26.75
138,My Medical Access,mymedicalaccess,Personal portal name,26.75
139,My Medical Portal,mymedicalportal,Personal portal name,26.75
140,My Practice Desk,mypracticedesk,Personal portal name,26.75
141,My Practice Link,mypracticelink,Personal portal name,26.75
142,One Clinic Desk,oneclinicdesk,Personal portal name,26.75
143,One Clinic Home,oneclinichome,Personal portal name,26.75
144,One Clinic Link,onecliniclink,Personal portal name,26.75
145,One Doctor Desk,onedoctordesk,Personal portal name,26.75
146,One Doctor Home,onedoctorhome,Personal portal name,26.75
147,One Doctor Link,onedoctorlink,Personal portal name,26.75
148,One Health Desk,onehealthdesk,Personal portal name,26.75
149,One Health Home,onehealthhome,Personal portal name,26.75
150,One Health Link,onehealthlink,Personal portal name,26.75
151,Our Clinic Desk,ourclinicdesk,Personal portal name,26.75
152,Our Clinic Home,ourclinichome,Personal portal name,26.75
153,Our Clinic Link,ourcliniclink,Personal portal name,26.75
154,Our Doctor Desk,ourdoctordesk,Personal portal name,26.75
155,Our Doctor Home,ourdoctorhome,Personal portal name,26.75
156,Our Doctor Link,ourdoctorlink,Personal portal name,26.75
157,Our Health Desk,ourhealthdesk,Personal portal name,26.75
158,Our Health Home,ourhealthhome,Personal portal name,26.75
159,Our Health Link,ourhealthlink,Personal portal name,26.75
160,Your Care Connect,yourcareconnect,Personal portal name,26.75
161,Easy Care,easycare,Simple two-word brand,26.5
162,Good Care,goodcare,Simple two-word brand,26.5
163,My Care,mycare,Simple two-word brand,26.5
164,One Care,onecare,Simple two-word brand,26.5
165,Open Care,opencare,Simple two-word brand,26.5
166,Real Care,realcare,Simple two-word brand,26.5
167,Smart Care,smartcare,Simple two-word brand,26.5
168,True Care,truecare,Simple two-word brand,26.5
169,Easy Health,easyhealth,Simple two-word brand,26.25
170,Good Health,goodhealth,Simple two-word brand,26.25
171,My Doctor,mydoctor,Simple two-word brand,26.25
172,My Health,myhealth,Simple two-word brand,26.25
173,One Doctor,onedoctor,Simple two-word brand,26.25
174,One Health,onehealth,Simple two-word brand,26.25
175,Open Health,openhealth,Simple two-word brand,26.25
176,Real Health,realhealth,Simple two-word brand,26.25
177,Smart Health,smarthealth,Simple two-word brand,26.25
178,True Health,truehealth,Simple two-word brand,26.25
179,Better Care,bettercare,Simple two-word brand,26.0
180,Bright Care,brightcare,Simple two-word brand,26.0
181,Clear Care,clearcare,Simple two-word brand,26.0
182,Hello Care,hellocare,Simple two-word brand,26.0
183,Ready Care,readycare,Simple two-word brand,26.0
184,Simple Care,simplecare,Simple two-word brand,26.0
185,Better Health,betterhealth,Simple two-word brand,25.75
186,Bright Health,brighthealth,Simple two-word brand,25.75
187,Clear Health,clearhealth,Simple two-word brand,25.75
188,Hello Health,hellohealth,Simple two-word brand,25.75
189,Ready Health,readyhealth,Simple two-word brand,25.75
190,Simple Health,simplehealth,Simple two-word brand,25.75
191,Easy Clinic,easyclinic,Simple two-word brand,25.75
192,Good Clinic,goodclinic,Simple two-word brand,25.75
193,My Clinic,myclinic,Simple two-word brand,25.75
194,One Clinic,oneclinic,Simple two-word brand,25.75
195,Open Clinic,openclinic,Simple two-word brand,25.75
196,Real Clinic,realclinic,Simple two-word brand,25.75
197,Smart Clinic,smartclinic,Simple two-word brand,25.75
198,True Clinic,trueclinic,Simple two-word brand,25.75
199,Easy Doctor,easydoctor,Simple two-word brand,25.5
200,Good Doctor,gooddoctor,Simple two-word brand,25.5
201,Open Doctor,opendoctor,Simple two-word brand,25.5
202,Real Doctor,realdoctor,Simple two-word brand,25.5
203,Smart Doctor,smartdoctor,Simple two-word brand,25.5
204,True Doctor,truedoctor,Simple two-word brand,25.5
205,Clear Doctor,cleardoctor,Simple two-word brand,25.25
206,Direct Care,directcare,Simple two-word brand,25.25
207,Hello Doctor,hellodoctor,Simple two-word brand,25.25
208,Modern Care,moderncare,Simple two-word brand,25.25
209,Next Care,nextcare,Simple two-word brand,25.25
210,Ready Doctor,readydoctor,Simple two-word brand,25.25
211,Simple Doctor,simpledoctor,Simple two-word brand,25.25
212,Whole Care,wholecare,Simple two-word brand,25.25
213,Clear Clinic,clearclinic,Simple two-word brand,25.0
214,Direct Health,directhealth,Simple two-word brand,25.0
215,Hello Clinic,helloclinic,Simple two-word brand,25.0
216,Modern Health,modernhealth,Simple two-word brand,25.0
217,Next Health,nexthealth,Simple two-word brand,25.0
218,Ready Clinic,readyclinic,Simple two-word brand,25.0
219,Simple Clinic,simpleclinic,Simple two-word brand,25.0
220,Whole Health,wholehealth,Simple two-word brand,25.0
221,My Telehealth,mytelehealth,Telehealth and online care,25.0
222,Tele Care,telecare,Telehealth and online care,25.0
223,Tele Clinic,teleclinic,Telehealth and online care,25.0
224,Tele Doctor,teledoctor,Telehealth and online care,25.0
225,Tele Doctors,teledoctors,Telehealth and online care,25.0
226,Tele Health,telehealth,Telehealth and online care,25.0
227,Tele Medical,telemedical,Telehealth and online care,25.0
228,Tele Practice,telepractice,Telehealth and online care,25.0
229,My Tele Care,mytelecare,Telehealth and online care,25.0
230,My Tele Clinic,myteleclinic,Telehealth and online care,25.0
231,My Tele Doctor,myteledoctor,Telehealth and online care,25.0
232,My Online Care,myonlinecare,Telehealth and online care,25.0
233,My Online Clinic,myonlineclinic,Telehealth and online care,25.0
234,My Online Doctor,myonlinedoctor,Telehealth and online care,25.0
235,My Online Health,myonlinehealth,Telehealth and online care,25.0
236,Online Care,onlinecare,Telehealth and online care,25.0
237,Online Clinic,onlineclinic,Telehealth and online care,25.0
238,Online Doctor,onlinedoctor,Telehealth and online care,25.0
239,Online Health,onlinehealth,Telehealth and online care,25.0
240,Virtual Care,virtualcare,Telehealth and online care,25.0
241,Virtual Clinic,virtualclinic,Telehealth and online care,25.0
242,Virtual Doctor,virtualdoctor,Telehealth and online care,25.0
243,Virtual Health,virtualhealth,Telehealth and online care,25.0
244,Digital Care,digitalcare,Telehealth and online care,25.0
245,Digital Clinic,digitalclinic,Telehealth and online care,25.0
246,Digital Health,digitalhealth,Telehealth and online care,25.0
247,Connected Care,connectedcare,Telehealth and online care,25.0
248,Connected Clinic,connectedclinic,Telehealth and online care,25.0
249,Connected Health,connectedhealth,Telehealth and online care,25.0
250,Care Online,careonline,Telehealth and online care,25.0
251,Clinic Online,cliniconline,Telehealth and online care,25.0
252,Doctor Online,doctoronline,Telehealth and online care,25.0
253,Health Online,healthonline,Telehealth and online care,25.0
254,Telehealth App,telehealthapp,Telehealth and online care,25.0
255,Telehealth Home,telehealthhome,Telehealth and online care,25.0
256,Telehealth Hub,telehealthhub,Telehealth and online care,25.0
257,Telehealth One,telehealthone,Telehealth and online care,25.0
258,Telehealth Online,telehealthonline,Telehealth and online care,25.0
259,Telehealth Portal,telehealthportal,Telehealth and online care,25.0
260,Telehealth Works,telehealthworks,Telehealth and online care,25.0
261,Better Clinic,betterclinic,Simple two-word brand,24.75
262,Bright Clinic,brightclinic,Simple two-word brand,24.75
263,Direct Clinic,directclinic,Simple two-word brand,24.75
264,Fresh Care,freshcare,Simple two-word brand,24.75
265,Happy Care,happycare,Simple two-word brand,24.75
266,Life Care,lifecare,Simple two-word brand,24.75
267,Local Care,localcare,Simple two-word brand,24.75
268,Next Clinic,nextclinic,Simple two-word brand,24.75
269,Pure Care,purecare,Simple two-word brand,24.75
270,Quick Care,quickcare,Simple two-word brand,24.75
271,Strong Care,strongcare,Simple two-word brand,24.75
272,Whole Clinic,wholeclinic,Simple two-word brand,24.75
273,Better Doctor,betterdoctor,Simple two-word brand,24.5
274,Bright Doctor,brightdoctor,Simple two-word brand,24.5
275,Direct Doctor,directdoctor,Simple two-word brand,24.5
276,Fresh Health,freshhealth,Simple two-word brand,24.5
277,Happy Health,happyhealth,Simple two-word brand,24.5
278,Life Health,lifehealth,Simple two-word brand,24.5
279,Local Health,localhealth,Simple two-word brand,24.5
280,Next Doctor,nextdoctor,Simple two-word brand,24.5
281,Pure Health,purehealth,Simple two-word brand,24.5
282,Quick Health,quickhealth,Simple two-word brand,24.5
283,Strong Health,stronghealth,Simple two-word brand,24.5
284,True Medical,truemedical,Simple two-word brand,24.5
285,Family Care,familycare,Simple two-word brand,24.25
286,Fresh Clinic,freshclinic,Simple two-word brand,24.25
287,Happy Clinic,happyclinic,Simple two-word brand,24.25
288,Home Care,homecare,Simple two-word brand,24.25
289,Life Clinic,lifeclinic,Simple two-word brand,24.25
290,Local Clinic,localclinic,Simple two-word brand,24.25
291,New Care,newcare,Simple two-word brand,24.25
292,Pure Clinic,pureclinic,Simple two-word brand,24.25
293,Quick Clinic,quickclinic,Simple two-word brand,24.25
294,Strong Clinic,strongclinic,Simple two-word brand,24.25
295,Trusted Care,trustedcare,Simple two-word brand,24.25
296,Whole Doctor,wholedoctor,Simple two-word brand,24.25
297,Clear Medical,clearmedical,Simple two-word brand,24.0
298,Everyday Care,everydaycare,Simple two-word brand,24.0
299,Family Health,familyhealth,Simple two-word brand,24.0
300,Fresh Doctor,freshdoctor,Simple two-word brand,24.0
301,Happy Doctor,happydoctor,Simple two-word brand,24.0
302,Home Health,homehealth,Simple two-word brand,24.0
303,Life Doctor,lifedoctor,Simple two-word brand,24.0
304,Local Doctor,localdoctor,Simple two-word brand,24.0
305,New Health,newhealth,Simple two-word brand,24.0
306,Pure Doctor,puredoctor,Simple two-word brand,24.0
307,Quick Doctor,quickdoctor,Simple two-word brand,24.0
308,Strong Doctor,strongdoctor,Simple two-word brand,24.0
309,Trusted Health,trustedhealth,Simple two-word brand,24.0
310,Better Medical,bettermedical,Simple two-word brand,23.75
311,Connected Care,connectedcare,Simple two-word brand,23.75
312,Everyday Health,everydayhealth,Simple two-word brand,23.75
313,Family Clinic,familyclinic,Simple two-word brand,23.75
314,Home Clinic,homeclinic,Simple two-word brand,23.75
315,Honest Care,honestcare,Simple two-word brand,23.75
316,New Clinic,newclinic,Simple two-word brand,23.75
317,People Care,peoplecare,Simple two-word brand,23.75
318,Prime Care,primecare,Simple two-word brand,23.75
319,Real Medical,realmedical,Simple two-word brand,23.75
320,Smart Medical,smartmedical,Simple two-word brand,23.75
321,Total Care,totalcare,Simple two-word brand,23.75
322,Trusted Clinic,trustedclinic,Simple two-word brand,23.75
323,Better Practice,betterpractice,Simple two-word brand,23.5
324,Bright Medical,brightmedical,Simple two-word brand,23.5
325,Connected Health,connectedhealth,Simple two-word brand,23.5
326,Family Doctor,familydoctor,Simple two-word brand,23.5
327,Home Doctor,homedoctor,Simple two-word brand,23.5
328,Honest Health,honesthealth,Simple two-word brand,23.5
329,New Doctor,newdoctor,Simple two-word brand,23.5
330,People Health,peoplehealth,Simple two-word brand,23.5
331,Prime Health,primehealth,Simple two-word brand,23.5
332,Total Health,totalhealth,Simple two-word brand,23.5
333,Trusted Doctor,trusteddoctor,Simple two-word brand,23.5
334,Clear Practice,clearpractice,Simple two-word brand,23.25
335,Complete Care,completecare,Simple two-word brand,23.25
336,Everyday Clinic,everydayclinic,Simple two-word brand,23.25
337,Honest Clinic,honestclinic,Simple two-word brand,23.25
338,Local Medical,localmedical,Simple two-word brand,23.25
339,Main Care,maincare,Simple two-word brand,23.25
340,Modern Clinic,modernclinic,Simple two-word brand,23.25
341,People Clinic,peopleclinic,Simple two-word brand,23.25
342,Prime Clinic,primeclinic,Simple two-word brand,23.25
343,Pure Medical,puremedical,Simple two-word brand,23.25
344,Quick Medical,quickmedical,Simple two-word brand,23.25
345,Strong Medical,strongmedical,Simple two-word brand,23.25
346,Total Clinic,totalclinic,Simple two-word brand,23.25
347,Whole Medical,wholemedical,Simple two-word brand,23.25
348,Complete Health,completehealth,Simple two-word brand,23.0
349,Everyday Doctor,everydaydoctor,Simple two-word brand,23.0
350,Honest Doctor,honestdoctor,Simple two-word brand,23.0
351,Local Practice,localpractice,Simple two-word brand,23.0
352,Main Health,mainhealth,Simple two-word brand,23.0
353,Modern Doctor,moderndoctor,Simple two-word brand,23.0
354,People Doctor,peopledoctor,Simple two-word brand,23.0
355,Prime Doctor,primedoctor,Simple two-word brand,23.0
356,Pure Practice,purepractice,Simple two-word brand,23.0
357,Quick Practice,quickpractice,Simple two-word brand,23.0
358,Strong Practice,strongpractice,Simple two-word brand,23.0
359,Total Doctor,totaldoctor,Simple two-word brand,23.0
360,Whole Practice,wholepractice,Simple two-word brand,23.0
361,Complete Clinic,completeclinic,Simple two-word brand,22.75
362,Everyday Medical,everydaymedical,Simple two-word brand,22.75
363,Family Medical,familymedical,Simple two-word brand,22.75
364,Honest Medical,honestmedical,Simple two-word brand,22.75
365,Life Medical,lifemedical,Simple two-word brand,22.75
366,Main Clinic,mainclinic,Simple two-word brand,22.75
367,Modern Medical,modernmedical,Simple two-word brand,22.75
368,People Medical,peoplemedical,Simple two-word brand,22.75
369,Prime Medical,primemedical,Simple two-word brand,22.75
370,Total Medical,totalmedical,Simple two-word brand,22.75
371,Complete Doctor,completedoctor,Simple two-word brand,22.5
372,Everyday Practice,everydaypractice,Simple two-word brand,22.5
373,Family Practice,familypractice,Simple two-word brand,22.5
374,Honest Practice,honestpractice,Simple two-word brand,22.5
375,Life Practice,lifepractice,Simple two-word brand,22.5
376,Main Doctor,maindoctor,Simple two-word brand,22.5
377,Modern Practice,modernpractice,Simple two-word brand,22.5
378,People Practice,peoplepractice,Simple two-word brand,22.5
379,Prime Practice,primepractice,Simple two-word brand,22.5
380,Total Practice,totalpractice,Simple two-word brand,22.5
381,Care App,careapp,Clear platform name,25.25
382,Care Hub,carehub,Clear platform name,25.25
383,Care Now,carenow,Clear platform name,25.25
384,Care Desk,caredesk,Clear platform name,25.0
385,Care Home,carehome,Clear platform name,25.0
386,Care Link,carelink,Clear platform name,25.0
387,Care One,careone,Clear platform name,24.75
388,Clinic App,clinicapp,Clear platform name,24.75
389,Clinic Hub,clinichub,Clear platform name,24.75
390,Clinic Now,clinicnow,Clear platform name,24.75
391,Doctor App,doctorapp,Clear platform name,24.75
392,Doctor Hub,doctorhub,Clear platform name,24.75
393,Doctor Now,doctornow,Clear platform name,24.75
394,Health App,healthapp,Clear platform name,24.75
395,Health Hub,healthhub,Clear platform name,24.75
396,Health Now,healthnow,Clear platform name,24.75
397,Care Access,careaccess,Clear platform name,24.5
398,Care Online,careonline,Clear platform name,24.5
399,Care Portal,careportal,Clear platform name,24.5
400,Clinic Desk,clinicdesk,Clear platform name,24.5
401,Clinic Home,clinichome,Clear platform name,24.5
402,Clinic Link,cliniclink,Clear platform name,24.5
403,Doctor Desk,doctordesk,Clear platform name,24.5
404,Doctor Home,doctorhome,Clear platform name,24.5
405,Doctor Link,doctorlink,Clear platform name,24.5
406,Health Desk,healthdesk,Clear platform name,24.5
407,Health Home,healthhome,Clear platform name,24.5
408,Health Link,healthlink,Clear platform name,24.5
409,Care Connect,careconnect,Clear platform name,24.25
410,Care Office,careoffice,Clear platform name,24.25
411,Care Team,careteam,Clear platform name,24.25
412,Clinic Access,clinicaccess,Clear platform name,24.0
413,Clinic Connect,clinicconnect,Clear platform name,24.0
414,Clinic Office,clinicoffice,Clear platform name,24.0
415,Clinic Online,cliniconline,Clear platform name,24.0
416,Clinic Portal,clinicportal,Clear platform name,24.0
417,Doctor Access,doctoraccess,Clear platform name,24.0
418,Doctor Connect,doctorconnect,Clear platform name,24.0
419,Doctor Office,doctoroffice,Clear platform name,24.0
420,Doctor Online,doctoronline,Clear platform name,24.0
421,Doctor Portal,doctorportal,Clear platform name,24.0
422,Health Access,healthaccess,Clear platform name,24.0
423,Health Connect,healthconnect,Clear platform name,24.0
424,Health Office,healthoffice,Clear platform name,24.0
425,Health Online,healthonline,Clear platform name,24.0
426,Health Portal,healthportal,Clear platform name,24.0
427,Practice App,practiceapp,Clear platform name,24.0
428,Practice Hub,practicehub,Clear platform name,24.0
429,Practice Desk,practicedesk,Clear platform name,23.75
430,Practice Link,practicelink,Clear platform name,23.75
431,Care Base,carebase,Clear platform name,23.5
432,Care Book,carebook,Clear platform name,23.5
433,Care Box,carebox,Clear platform name,23.5
434,Care Door,caredoor,Clear platform name,23.5
435,Care Easy,careeasy,Clear platform name,23.5
436,Care File,carefile,Clear platform name,23.5
437,Care Flow,careflow,Clear platform name,23.5
438,Care Guide,careguide,Clear platform name,23.5
439,Care House,carehouse,Clear platform name,23.5
440,Care Live,carelive,Clear platform name,23.5
441,Care Login,carelogin,Clear platform name,23.5
442,Care Map,caremap,Clear platform name,23.5
443,Care Path,carepath,Clear platform name,23.5
444,Care Place,careplace,Clear platform name,23.5
445,Care Plan,careplan,Clear platform name,23.5
446,Care Point,carepoint,Clear platform name,23.5
447,Care Ready,careready,Clear platform name,23.5
448,Care Room,careroom,Clear platform name,23.5
449,Care Start,carestart,Clear platform name,23.5
450,Care Suite,caresuite,Clear platform name,23.5
451,Care Sync,caresync,Clear platform name,23.5
452,Care Track,caretrack,Clear platform name,23.5
453,Care View,careview,Clear platform name,23.5
454,Care Way,careway,Clear platform name,23.5
455,Care Web,careweb,Clear platform name,23.5
456,Care Works,careworks,Clear platform name,23.5
457,Clinic One,clinicone,Clear platform name,23.5
458,Doctor One,doctorone,Clear platform name,23.5
459,Health One,healthone,Clear platform name,23.5
460,Medical App,medicalapp,Clear platform name,23.5
461,Medical Hub,medicalhub,Clear platform name,23.5
462,Medical Now,medicalnow,Clear platform name,23.5
463,Practice Access,practiceaccess,Clear platform name,23.5
464,Practice Portal,practiceportal,Clear platform name,23.5
465,Care Choice,carechoice,Clear platform name,23.25
466,Care First,carefirst,Clear platform name,23.25
467,Care Office,careoffice,Clear platform name,23.25
468,Care Today,caretoday,Clear platform name,23.25
469,Care Tools,caretools,Clear platform name,23.25
470,Care Town,caretown,Clear platform name,23.25
471,Care World,careworld,Clear platform name,23.25
472,Clinic Base,clinicbase,Clear platform name,23.25
473,Clinic Book,clinicbook,Clear platform name,23.25
474,Clinic Box,clinicbox,Clear platform name,23.25
475,Clinic Door,clinicdoor,Clear platform name,23.25
476,Clinic Easy,cliniceasy,Clear platform name,23.25
477,Clinic File,clinicfile,Clear platform name,23.25
478,Clinic Flow,clinicflow,Clear platform name,23.25
479,Clinic Guide,clinicguide,Clear platform name,23.25
480,Clinic House,clinichouse,Clear platform name,23.25
481,Clinic Live,cliniclive,Clear platform name,23.25
482,Clinic Login,cliniclogin,Clear platform name,23.25
483,Clinic Map,clinicmap,Clear platform name,23.25
484,Clinic Path,clinicpath,Clear platform name,23.25
485,Clinic Place,clinicplace,Clear platform name,23.25
486,Clinic Plan,clinicplan,Clear platform name,23.25
487,Clinic Point,clinicpoint,Clear platform name,23.25
488,Clinic Ready,clinicready,Clear platform name,23.25
489,Clinic Room,clinicroom,Clear platform name,23.25
490,Clinic Start,clinicstart,Clear platform name,23.25
491,Clinic Suite,clinicsuite,Clear platform name,23.25
492,Clinic Sync,clinicsync,Clear platform name,23.25
493,Clinic Track,clinictrack,Clear platform name,23.25
494,Clinic View,clinicview,Clear platform name,23.25
495,Clinic Way,clinicway,Clear platform name,23.25
496,Clinic Web,clinicweb,Clear platform name,23.25
497,Clinic Works,clinicworks,Clear platform name,23.25
498,Doctor Base,doctorbase,Clear platform name,23.25
499,Doctor Book,doctorbook,Clear platform name,23.25
500,Doctor Door,doctordoor,Clear platform name,23.25
501,Doctor Easy,doctoreasy,Clear platform name,23.25
502,Doctor Flow,doctorflow,Clear platform name,23.25
503,Doctor Guide,doctorguide,Clear platform name,23.25
504,Doctor House,doctorhouse,Clear platform name,23.25
505,Doctor Live,doctorlive,Clear platform name,23.25
506,Doctor Map,doctormap,Clear platform name,23.25
507,Doctor Path,doctorpath,Clear platform name,23.25
508,Doctor Place,doctorplace,Clear platform name,23.25
509,Doctor Plan,doctorplan,Clear platform name,23.25
510,Doctor Point,doctorpoint,Clear platform name,23.25
511,Doctor Ready,doctorready,Clear platform name,23.25
512,Doctor Room,doctorroom,Clear platform name,23.25
513,Doctor Start,doctorstart,Clear platform name,23.25
514,Doctor Sync,doctorsync,Clear platform name,23.25
515,Doctor Track,doctortrack,Clear platform name,23.25
516,Doctor View,doctorview,Clear platform name,23.25
517,Doctor Way,doctorway,Clear platform name,23.25
518,Doctor Web,doctorweb,Clear platform name,23.25
519,Doctor Works,doctorworks,Clear platform name,23.25
520,Health Base,healthbase,Clear platform name,23.25
521,Health Book,healthbook,Clear platform name,23.25
